source_url,school_id,department_code,course_code,course_title,section,section_instructor,term,isbn,title,author,material_adoption_code,crawled_on,updated_on
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7312,Adult/gerontology ACNP II: System management,,"Fowler, Leanne",Fall 2025,9781265979317,Harrison's principles of internal medicine,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7312,Adult/gerontology ACNP II: System management,,"Fowler, Leanne",Fall 2025,9780986402142,Practice considerations for adult-gerontology acute care nurse practitioners,"Barkley, Thomas Wesson",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7312,Adult/gerontology ACNP II: System management,,"Fowler, Leanne",Fall 2025,9780826152336,Textbook for the adult-gerontology acute care nurse practitioner : evidence-bas,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7314,Adult Gerontology ACNP III: Critical illness & trauma management,,"Fowler, Leanne",Spring 2023,9780803698161,Advanced practice : nursing procedures.,"Colyar, Margaret R., 1948-",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7314,Adult Gerontology ACNP III: Critical illness & trauma management,,"Fowler, Leanne",Spring 2023,9780803646599,Advanced practice : nursing procedures,"Colyar, Margaret R., 1948-",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7314,Adult Gerontology ACNP III: Critical illness & trauma management,,"Fowler, Leanne",Spring 2023,9781620750322,Comprehensive critical care ultrasound.,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7314,Adult Gerontology ACNP III: Critical illness & trauma management,,"Fowler, Leanne",Spring 2023,0071840613,Current diagnosis & treatment : emergency medicine,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7314,Adult Gerontology ACNP III: Critical illness & trauma management,,"Fowler, Leanne",Spring 2023,,Current medical diagnosis & treatment.,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7314,Adult Gerontology ACNP III: Critical illness & trauma management,,"Fowler, Leanne",Spring 2023,9781886775718,GNRS : geriatric nursing review syllabus : a core curriculum in advance practice geriatric nursing,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7314,Adult Gerontology ACNP III: Critical illness & trauma management,,"Fowler, Leanne",Spring 2023,9781259644047,Harrison's principles of internal medicine,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7314,Adult Gerontology ACNP III: Critical illness & trauma management,,"Fowler, Leanne",Spring 2023,9780323683562,Mosby's diagnostic and laboratory test reference,"Pagana, Kathleen Deska, 1952-",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7314,Adult Gerontology ACNP III: Critical illness & trauma management,,"Fowler, Leanne",Spring 2023,0323609694,Mosby's diagnostic and laboratory test reference,"Pagana, Kathleen Deska, 1952-",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7314,Adult Gerontology ACNP III: Critical illness & trauma management,,"Fowler, Leanne",Spring 2023,9780803637115,Practical radiology : a symptom-based approach,"Weber, Edward C",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7314,Adult Gerontology ACNP III: Critical illness & trauma management,,"Fowler, Leanne",Spring 2023,9780986402142,Practice considerations for adult-gerontology acute care nurse practitioners,"Barkley, Thomas Wesson",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7314,Adult Gerontology ACNP III: Critical illness & trauma management,,"Fowler, Leanne",Spring 2023,9781433832161,Publication manual of the American Psychological Association : the official guide to APA style.,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7314,Adult Gerontology ACNP III: Critical illness & trauma management,,"Fowler, Leanne",Spring 2023,9781496392985,Radiology 101 : the basics and fundamentals of imaging,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7314,Adult Gerontology ACNP III: Critical illness & trauma management,,"Fowler, Leanne",Spring 2023,9781469831503,Radiology 101 : the basics and fundamentals of imaging,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7316,Adult/Gerontology ACNP IV: Role transitions,,"Fowler, Leanne",Spring 2023,9780826164780,Adult-gerontology acute care nurse practitioner Q&A review,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7316,Adult/Gerontology ACNP IV: Role transitions,,"Fowler, Leanne",Spring 2023,9780803698161,Advanced practice : nursing procedures.,"Colyar, Margaret R., 1948-",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7316,Adult/Gerontology ACNP IV: Role transitions,,"Fowler, Leanne",Spring 2023,,Current medical diagnosis & treatment.,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7316,Adult/Gerontology ACNP IV: Role transitions,,"Fowler, Leanne",Spring 2023,0071840613,Current diagnosis & treatment : emergency medicine,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7316,Adult/Gerontology ACNP IV: Role transitions,,"Fowler, Leanne",Spring 2023,9781886775718,GNRS : geriatric nursing review syllabus : a core curriculum in advance practice geriatric nursing,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7316,Adult/Gerontology ACNP IV: Role transitions,,"Fowler, Leanne",Spring 2023,9781259644047,Harrison's principles of internal medicine,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7316,Adult/Gerontology ACNP IV: Role transitions,,"Fowler, Leanne",Spring 2023,9780323683562,Mosby's diagnostic and laboratory test reference,"Pagana, Kathleen Deska, 1952-",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7316,Adult/Gerontology ACNP IV: Role transitions,,"Fowler, Leanne",Spring 2023,0323609694,Mosby's diagnostic and laboratory test reference,"Pagana, Kathleen Deska, 1952-",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7316,Adult/Gerontology ACNP IV: Role transitions,,"Fowler, Leanne",Spring 2023,9781284208559,Nurse practitioner's business practice and legal guide,"Buppert, Carolyn",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7316,Adult/Gerontology ACNP IV: Role transitions,,"Fowler, Leanne",Spring 2023,9780803637115,Practical radiology : a symptom-based approach,"Weber, Edward C",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7316,Adult/Gerontology ACNP IV: Role transitions,,"Fowler, Leanne",Spring 2023,9780986402142,Practice considerations for adult-gerontology acute care nurse practitioners,"Barkley, Thomas Wesson",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7316,Adult/Gerontology ACNP IV: Role transitions,,"Fowler, Leanne",Spring 2023,9781433832161,Publication manual of the American Psychological Association : the official guide to APA style.,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7316,Adult/Gerontology ACNP IV: Role transitions,,"Fowler, Leanne",Spring 2023,9781496392985,Radiology 101 : the basics and fundamentals of imaging,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7316,Adult/Gerontology ACNP IV: Role transitions,,"Fowler, Leanne",Spring 2023,9781469831503,Radiology 101 : the basics and fundamentals of imaging,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7717,Adult-Gerontology PCNP II: Vulnerable Populations & Chronic Disease Management,,"Rivera, Sherry",Fall 2025,9781284146882,"Caring for the vulnerable : perspectives in nursing theory, practice, and resea","De Chesnay, Mary",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7717,Adult-Gerontology PCNP II: Vulnerable Populations & Chronic Disease Management,,"Rivera, Sherry",Fall 2025,0323935842,Primary care : interprofessional collaborative practice,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3362,Adult Health Nursing Practicum,,"Lineberry, Carol",Spring 2026,9781975168285,Brunner & Suddarth's textbook of medical-surgical nursing,"Hinkle, Janice L",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3362,Adult Health Nursing Practicum,,"Lineberry, Carol",Spring 2026,9780443269608,Elsevier's 2026 intravenous medications : a handbook for nurses and professiona,"Collins, Shelly Rainforth",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3362,Adult Health Nursing Practicum,,"Lineberry, Carol",Spring 2026,9781975168155,Fundamentals of nursing : the art and science of person-centered care,"Taylor, Carol R",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3362,Adult Health Nursing Practicum,,"Lineberry, Carol",Spring 2026,9780323789615,Lewis's medical-surgical nursing : assessment and management of clinical problems,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3362,Adult Health Nursing Practicum,,"Lineberry, Carol",Spring 2026,9780443105937,Mosby's drug guide for nursing students,"Skidmore-Roth, Linda",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3362,Adult Health Nursing Practicum,,"Lineberry, Carol",Spring 2026,9780323694063,Mosby's drug guide for nursing students,"Skidmore-Roth, Linda",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3362,Adult Health Nursing Practicum,,"Lineberry, Carol",Spring 2026,9780323697033,"Mosby's manual of diagnostic and laboratory tests / Kathleen Deska Pagana, Timothy J. Pagana, [and] T","Pagana, Kathleen Deska, 1952-",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3362,Adult Health Nursing Practicum,,"Lineberry, Carol",Spring 2026,9780323792011,"Mulholland's the nurse, the math, the meds : drug calculations using dimensional analysis","Turner, Susan J",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3362,Adult Health Nursing Practicum,,"Lineberry, Carol",Spring 2026,9780443105272,"Nursing care plans : diagnoses, interventions, & outcomes",,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3362,Adult Health Nursing Practicum,,"Lineberry, Carol",Spring 2026,9780323711180,"Nursing care plans : diagnoses, interventions, and outcomes",,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3362,Adult Health Nursing Practicum,,"Lineberry, Carol",Spring 2026,9780323810241,Nutritional foundations and clinical applications : a nursing approach,"Grodner, Michele",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3362,Adult Health Nursing Practicum,,"Lineberry, Carol",Spring 2026,9780323683166,"Prioritization, delegation, and assignment : practice exercises for the NCLEX-RN examination","LaCharity, Linda A",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3362,Adult Health Nursing Practicum,,"Lineberry, Carol",Spring 2026,9781433832161,Publication manual of the American Psychological Association : the official guide to APA style.,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3362,Adult Health Nursing Practicum,,"Lineberry, Carol",Spring 2026,9781975168704,Taylor's clinical nursing skills,"Lynn, Pamela (Pamela Barbara), 1961-",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3372,Adult Health Nursing Simulation/Lab,,"Lineberry, Carol",Spring 2026,9781975168285,Brunner & Suddarth's textbook of medical-surgical nursing,"Hinkle, Janice L",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3372,Adult Health Nursing Simulation/Lab,,"Lineberry, Carol",Spring 2026,9781975168155,Fundamentals of nursing : the art and science of person-centered care,"Taylor, Carol R",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3372,Adult Health Nursing Simulation/Lab,,"Lineberry, Carol",Spring 2026,9780323789615,Lewis's medical-surgical nursing : assessment and management of clinical problems,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3372,Adult Health Nursing Simulation/Lab,,"Lineberry, Carol",Spring 2026,9780443105937,Mosby's drug guide for nursing students,"Skidmore-Roth, Linda",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3372,Adult Health Nursing Simulation/Lab,,"Lineberry, Carol",Spring 2026,9780323694063,Mosby's drug guide for nursing students,"Skidmore-Roth, Linda",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3372,Adult Health Nursing Simulation/Lab,,"Lineberry, Carol",Spring 2026,9780323697033,"Mosby's manual of diagnostic and laboratory tests / Kathleen Deska Pagana, Timothy J. Pagana, [and] T","Pagana, Kathleen Deska, 1952-",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3372,Adult Health Nursing Simulation/Lab,,"Lineberry, Carol",Spring 2026,9780323792011,"Mulholland's the nurse, the math, the meds : drug calculations using dimensional analysis","Turner, Susan J",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3372,Adult Health Nursing Simulation/Lab,,"Lineberry, Carol",Spring 2026,9780323711180,"Nursing care plans : diagnoses, interventions, and outcomes",,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3372,Adult Health Nursing Simulation/Lab,,"Lineberry, Carol",Spring 2026,9780323683166,"Prioritization, delegation, and assignment : practice exercises for the NCLEX-RN examination","LaCharity, Linda A",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3372,Adult Health Nursing Simulation/Lab,,"Lineberry, Carol",Spring 2026,9781975168704,Taylor's clinical nursing skills,"Lynn, Pamela (Pamela Barbara), 1961-",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3351,Adult Health Nursing Theory,,"Rogers, Danielle",Spring 2026,9781975168285,Brunner & Suddarth's textbook of medical-surgical nursing,"Hinkle, Janice L",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3351,Adult Health Nursing Theory,,"Rogers, Danielle",Spring 2026,9781975168155,Fundamentals of nursing : the art and science of person-centered care,"Taylor, Carol R",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3351,Adult Health Nursing Theory,,"Rogers, Danielle",Spring 2026,0443120994,Elsevier's 2025 intravenous medications : a handbook for nurses and health prof,"Collins, Shelly Rainforth",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3351,Adult Health Nursing Theory,,"Rogers, Danielle",Spring 2026,9780323789615,Lewis's medical-surgical nursing : assessment and management of clinical problems,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3351,Adult Health Nursing Theory,,"Rogers, Danielle",Spring 2026,9780323694063,Mosby's drug guide for nursing students,"Skidmore-Roth, Linda",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3351,Adult Health Nursing Theory,,"Rogers, Danielle",Spring 2026,9780323697033,"Mosby's manual of diagnostic and laboratory tests / Kathleen Deska Pagana, Timothy J. Pagana, [and] T","Pagana, Kathleen Deska, 1952-",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3351,Adult Health Nursing Theory,,"Rogers, Danielle",Spring 2026,9780323792011,"Mulholland's the nurse, the math, the meds : drug calculations using dimensional analysis","Turner, Susan J",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3351,Adult Health Nursing Theory,,"Rogers, Danielle",Spring 2026,9780323711180,"Nursing care plans : diagnoses, interventions, and outcomes",,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3351,Adult Health Nursing Theory,,"Rogers, Danielle",Spring 2026,9780323810241,Nutritional foundations and clinical applications : a nursing approach,"Grodner, Michele",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3351,Adult Health Nursing Theory,,"Rogers, Danielle",Spring 2026,9780443112638,"Prioritization, delegation, and assignment : practice exercises for the NCLEX-RN examination","LaCharity, Linda A",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3351,Adult Health Nursing Theory,,"Rogers, Danielle",Spring 2026,9780323683166,"Prioritization, delegation, and assignment : practice exercises for the NCLEX-RN examination","LaCharity, Linda A",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3351,Adult Health Nursing Theory,,"Rogers, Danielle",Spring 2026,9781433832161,Publication manual of the American Psychological Association : the official guide to APA style.,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,3351,Adult Health Nursing Theory,,"Rogers, Danielle",Spring 2026,9781975168704,Taylor's clinical nursing skills,"Lynn, Pamela (Pamela Barbara), 1961-",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,CHSP,7207,"Adv. Community Analysis, Ecology and Health Disparity",,"Tseng, Tung-Sung",Spring 2026,9781284210255,"Health program planning and evaluation : a practical, systematic approach for c","Issel, L. Michele",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7511,ADV NEO NURS I CRITICAL,,"Orlando, Susan",Spring 2023,9780989019828,Neonatal imaging,"Eklund, Meryle J",Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7513,ADV NEO NURS III PRACTICUM,,"Orlando, Susan",Spring 2023,9781259644818,"Gomella's neonatology : management, procedures, on-call problems, diseases, and drugs",,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
https://innopac.lsuhsc.edu/search~S6,3035071,NURS,7513,ADV NEO NURS III PRACTICUM,,"Orlando, Susan",Spring 2023,9780323569033,Merenstein & Gardner's handbook of neonatal intensive care : an interprofession,,Required,2026-03-20 10:20:50,2026-03-20 10:20:50
