source_url,school_id,department_code,course_code,course_title,section,section_instructor,term,isbn,title,author,material_adoption_code,crawled_on,updated_on
https://galen.libguides.com/Booklist,3033039,PN,|136/137,Fundamentals of Nursing,,,Summer 2026,9781719650366,"Nurse's pocket guide: Problems, diagnoses, prioritized solutions, and rationales","Moorhouse, M. F., Baughn, C., & Moore-Nadler, M",Recommended,2026-03-21 00:00:00,2026-03-21 00:00:00
https://galen.libguides.com/Booklist,3033039,PN,|150,Pharmacology,,,Summer 2026,9781975163730,Introductory clinical pharmacology,"Ford, S. M",Required,2026-03-21 00:00:00,2026-03-21 00:00:00
https://galen.libguides.com/Booklist,3033039,PN,|150,Pharmacology,,,Summer 2026,9780443112874,Saunders comprehensive review for the NCLEX-PN® examination,"Silvestri, L. A., & Silvestri, A. E",Required,2026-03-21 00:00:00,2026-03-21 00:00:00
https://galen.libguides.com/Booklist,3033039,PN,|150,Pharmacology,,,Summer 2026,,Davis’s drug guide for nurses,"Vallerand, A. H., & Sanoski, C. A",Required,2026-03-21 00:00:00,2026-03-21 00:00:00
https://galen.libguides.com/Booklist,3033039,PN,|150,Pharmacology,,,Summer 2026,9781975163761,Study guide to accompany Roach’s introductory clinical pharmacology,"Ford, S. M",Recommended,2026-03-21 00:00:00,2026-03-21 00:00:00
https://galen.libguides.com/Booklist,3033039,PN,|154/158,Medical-Surgical Nursing I,,,Summer 2026,9781719646284,Dimensional analysis: Calculating dosages safely,"Horntvedt, T",Required,2026-03-21 00:00:00,2026-03-21 00:00:00
https://galen.libguides.com/Booklist,3033039,PN,|154/158,Medical-Surgical Nursing I,,,Summer 2026,9780443112874,Saunders comprehensive review for the NCLEX-PN® examination,"Silvestri, L. A., & Silvestri, A. E",Required,2026-03-21 00:00:00,2026-03-21 00:00:00
https://galen.libguides.com/Booklist,3033039,PN,|154/158,Medical-Surgical Nursing I,,,Summer 2026,9780443121029,Medical-surgical nursing: Concepts & practice,"Stromberg, H. K",Required,2026-03-21 00:00:00,2026-03-21 00:00:00
https://galen.libguides.com/Booklist,3033039,PN,|154/158,Medical-Surgical Nursing I,,,Summer 2026,,Davis’s drug guide for nurses,"Vallerand, A. H., & Sanoski, C. A",Required,2026-03-21 00:00:00,2026-03-21 00:00:00
https://galen.libguides.com/Booklist,3033039,PN,|154/158,Medical-Surgical Nursing I,,,Summer 2026,9780443245237,Fundamental concepts and skills for nursing,"Williams, P. A",Required,2026-03-21 00:00:00,2026-03-21 00:00:00
